Airline Name,inflight_service_sentiment,cancellation_luggage_sentiment,delay_sentiment,crew_meal_sentiment,boarding_sentiment
AB Aviation,0.0,0.0,0.0,0.0,0.1164150237024536
AIRDO,0.3517428956907517,0.0,0.12014210000817706,0.0,0.34698325395584106
AJet,-0.06859389637022416,-0.39369403407217846,-0.056692473094866025,0.0,0.041543043594650435
ANA All Nippon Airways,0.29650295354741707,-0.006072959421779611,-0.008573170243522858,0.0589211021308432,0.003420801292921244
ASKY Airlines,0.00528362928641118,-0.17841000846458768,-0.18872228726661003,0.0,-0.13278153375197554
ATA Airlines,-0.4679555296897888,0.0,0.0,0.0,0.0
Adria Airways,0.05378292038850176,-0.05138199104204836,0.011358841689964235,0.25736555089962054,0.025063731435380713
Aegean Airlines,0.06001454879067169,-0.21611708515951242,-0.08936959879130942,0.0006373122133753118,-0.04531447984071951
Aer Lingus,-0.06552777527349068,-0.16289451938960733,-0.0696314408745228,0.0010490340380299773,-0.1303200572588204
Aero VIP,0.0,0.09736953842142061,0.19252039618454386,0.059194188976332884,0.32308280009959756
AeroItalia,0.0,-0.29092327766666665,-0.4081138915780193,-0.2043780935840799,0.0
Aerocaribbean,0.0,0.0,-0.28954275449117023,0.49354539753465976,0.13687806882988288
Aeroflot Russian Airlines,0.10693669904660423,-0.18907915730816366,-0.0878060757520091,0.030050422938340832,-0.00043704227337335586
Aerolineas Argentinas,0.060153450975989724,-0.1680276947165064,-0.06148976362284154,0.001942451092050737,0.009278429313798004
Aeromar,0.0,-0.30078944294174453,-0.09036687285734127,0.0672065111237338,-0.07436853234595603
Aeromexico,-0.040291094981970345,-0.41744780671200205,-0.06417933034528475,-0.014847190472544635,-0.05109808207351087
Aerosur,-0.05637540770553975,-0.05364767251012234,-0.061669585943941514,0.050733302178864494,0.0671062694710567
Africa World Airlines,0.0,-0.2853748766494353,-0.30733934210760094,0.04995150788644002,-0.14424586667172254
Afriqiyah Airways,0.027366136165363292,-0.04084728219098667,-0.11525880549626115,0.14630219290840615,0.03354393817766633
Aigle Azur,0.10067477653858352,-0.23986773216801122,0.01405855119713277,-0.03860610720644912,-0.08549485866025411
Air Algerie,-0.07341999576029741,-0.05441175703009326,-0.0945403278911718,-0.010474832229929119,-0.019533522570523796
Air Antilles,0.0,-0.30919621875054787,-0.2780194299464458,0.0,0.1544546351891507
Air Arabia,-0.030195778776725954,-0.37290349942004997,-0.17290458588397947,-0.00715606106205823,-0.047165441701199115
Air Astana,0.3760513594569236,-0.04716926044672119,-0.020898533187416513,0.03331309967025665,0.014031138319623318
Air Austral,0.31223786275657384,-0.059941799819304344,-0.06368344764589737,0.007398986556792901,0.05478430390887629
Air Bagan,0.24165842398933435,0.01877635897863893,0.06199437407588054,0.1572963755997466,0.07687146175642402
Air Belgium,0.7649415731430054,0.0,0.0,0.0,0.0
Air Berlin,-3.410474766906785e-05,-0.13473939573143134,-0.1654403033355111,-0.018811319636890804,-0.044262961408100654
Air Botswana,0.0,-0.011272642182379703,-0.022834778040703108,0.11721536832443892,0.07849824698880804
Air Burkina,0.0,0.0,0.29833247168420485,0.0,0.13168240682722399
Air Busan,0.24136978894515734,0.0006521352771765553,0.049224541779549456,0.06453187928308876,0.08065610742653251
Air Cairo,-0.050320314778668294,-0.10264384365137014,-0.2420722674706016,0.00479994562386526,0.019870571526017927
Air Canada,-0.02088507729050644,-0.26299006418531073,-0.09975313468124834,-0.04732938084266374,-0.05872287971379933
Air Canada rouge,-0.0800270323104942,-0.15962018432375355,-0.10642793534587656,-0.06052390569501743,-0.1409029220817154
Air Caraibes,0.22239052237484408,-0.146928412432802,-0.06455256435363783,-0.02396251515736962,-0.06715679708132945
Air China,-0.034932090520967234,-0.1379918503924854,-0.03607404812838886,-0.03005844347831531,-0.08330377967653081
Air Corsica,0.014689659014400896,-0.16525626034413834,0.007585420915046498,0.13135469172159023,-0.01885032527135459
Air Costa,0.965732992,0.0,0.0,0.0,0.0
Air Cote d'Ivoire,0.0,0.0,-0.8933430910110474,0.0,0.0
Air Djibouti,0.2507614443503749,0.0,0.12326983116041307,0.0,0.0
Air Dolomiti,0.1973829899129286,-0.05383826992236374,-0.03179939920451585,0.12635234368360682,0.023518364804785946
Air Europa,-0.05100196540357421,-0.22843824844445518,-0.10644959615785377,0.0025410473142736616,-0.13719672379951003
Air France,-0.043903288387186164,-0.21384762782356392,-0.06341293511328176,-0.029304330900068468,-0.01858011904861863
Air Greenland,0.27049549013712204,-0.09838679559460045,-0.030435564219495417,0.022870242420243773,-0.09058794554542093
Air Iceland Connect,0.0,0.0,0.0,0.16051604364877345,0.16566954029393488
Air India,-0.22077422855823653,-0.19869695045073654,-0.1159438573473636,-0.010351486089978578,-0.04902545496248692
Air India Express,-0.04960549609334172,-0.252962381240571,-0.1615361742514234,-0.01996049424558056,-0.05526018420972964
Air Italy,0.17458391991875843,-0.07342371251814438,-0.07380137425902492,0.03488951319878605,0.00047020467000863196
Air Juan,-0.008350933395015808,-0.36652739380210697,-0.2172404099437275,0.019429576626867156,-0.07331982340522493
Air KBZ,0.5709205375136652,0.0,0.04858055034289951,0.11925651108926703,0.024742455762176124
Air Koryo,0.07058631533342712,0.024066399267949325,0.02907767556169696,0.25605671122171547,0.14103714207919868
Air Labrador,0.0,0.0,0.19837611109198605,0.0,0.5334236702304932
Air Macau,-0.10551853497057288,-0.0005147630751439162,-0.13449359771150646,-0.020972200477078658,0.001374779285806548
Air Madagascar,-0.039088992383077746,-0.14560593108743977,-0.023012874840390923,-0.011953822015824607,0.02032089687584291
Air Malawi,0.0,0.0,0.0,0.12286313372285494,0.17889976504016583
Air Malta,-0.06791971851576635,-0.21941146277383758,-0.10190104721786353,-0.04535147254417213,-0.027033426311574665
Air Mauritius,-0.043696643863128305,-0.07741825508864236,-0.07530525912439158,0.03955391694732874,-0.01722081925640283
