,RowId,Airline Name,Review_Title,Review Date,Top Review Image Url,img_resnet50_score,img_resnet50_label
0,0,AB Aviation,"""pretty decent airline""",11th November 2019,https://www.airlinequality.com/wp-content/uploads/2019/11/20191102_123305-500x500.jpg,5.190324783325195,military aircraft
13,13,Adria Airways,"""Would not fly again""",30th June 2018,https://www.airlinequality.com/wp-content/uploads/2018/06/IMG_1571-1-500x500.jpg,6.628997325897217,mail bag
108,108,Aegean Airlines,“claims to be pet-friendly”,27th October 2024,https://www.airlinequality.com/wp-content/uploads/2024/10/IMG_5873-500x500.jpeg,5.040598392486572,jeep
109,109,Aegean Airlines,“Great value for money!”,13th October 2024,https://www.airlinequality.com/wp-content/uploads/2024/10/20241008_FRA-ATH-A3831_espresso-500x500.jpg,7.355823993682861,espresso
110,110,Aegean Airlines,"""75 euro for 1 10 kg bag round trip""",4th October 2024,https://www.airlinequality.com/wp-content/uploads/2024/10/PXL_20241004_073123468-500x500.jpg,5.758940696716309,desk
118,118,Aegean Airlines,“crew was very nice”,12th July 2024,https://www.airlinequality.com/wp-content/uploads/2024/07/inbound8469499039478717598-500x500.jpg,6.772408962249756,plate
130,130,Aegean Airlines,“Very attending service”,22nd May 2024,https://www.airlinequality.com/wp-content/uploads/2024/05/IMG_20240518_103907_edit_2247906755096047-500x500.jpg,6.72723388671875,seat belt
135,135,Aegean Airlines,"""our bags were not loaded""",23rd March 2024,https://www.airlinequality.com/wp-content/uploads/2024/03/Aegean1-500x500.jpg,6.802717685699463,menu
136,136,Aegean Airlines,"""Highly recommended! """,7th March 2024,https://www.airlinequality.com/wp-content/uploads/2024/03/IMG_1475-500x500.jpeg,7.069388389587402,airliner
154,154,Aegean Airlines,"""out of my last 20 flights only one was on time""",25th September 2023,https://www.airlinequality.com/wp-content/uploads/2023/09/16956630467416937441037722578767-500x500.jpg,5.517897129058838,ambulance
165,165,Aegean Airlines,"""Boarding is a mess""",18th August 2023,https://www.airlinequality.com/wp-content/uploads/2023/08/20230808_162733-500x500.jpg,4.81248140335083,planetarium
184,184,Aegean Airlines,"""Crew was friendly""",30th May 2023,https://www.airlinequality.com/wp-content/uploads/2023/05/IMG_20230526_183615-500x500.jpg,5.795831680297852,plate
186,186,Aegean Airlines,"""did not wear a name tag""",2nd May 2023,https://www.airlinequality.com/wp-content/uploads/2023/05/No-name-tag.-Texting-while-taking-off-500x500.jpg,5.761403560638428,neck brace
187,187,Aegean Airlines,"""Crew was friendly and helpful""",30th April 2023,https://www.airlinequality.com/wp-content/uploads/2023/04/IMG_20230422_092256_edit_12319672402807-500x500.jpg,5.528526782989502,packet
